tu.id_turma;
1;,
18;,
19;,
20;,
21;,
22;,
23;,
24;,
24;,
26;,
27;,
28;,
29;,
31;,
34;,
36;,
37;,
38;,
39;,
40;,
41;,
43;,
44;,
45;,
46;,
47;,
48;,
49;,
56;,
61;,
62;,
64;,
70;,
73;,
76;,
76;,
78;,
79;,
80;,
81;,
82;,
83;,
738;,
739;,
740;,
93;,
95;,
101;,
106;,
107;,
108;,
110;,
111;,
112;,
113;,
114;,
116;,
117;,
120;,
121;,
122;,
123;,
124;,
125;,
126;,
127;,
128;,
130;,
131;,
132;,
133;,
134;,
137;,
139;,
140;,
141;,
142;,
145;,
145;,
146;,
146;,
147;,
148;,
149;,
154;,
156;,
157;,
158;,
159;,
160;,
162;,
168;,
170;,
171;,
172;,
174;,
178;,
178;,
179;,
179;,
180;,
180;,
183;,
183;,
184;,
187;,
188;,
191;,
193;,
194;,
195;,
196;,
197;,
198;,
199;,
201;,
202;,
204;,
216;,
220;,
222;,
224;,
225;,
226;,
228;,
229;,
230;,
231;,
232;,
233;,
234;,
235;,
238;,
239;,
240;,
242;,
244;,
245;,
246;,
247;,
249;,
250;,
251;,
254;,
262;,
263;,
264;,
265;,
266;,
267;,
268;,
270;,
274;,
977;,
301;,
303;,
308;,
309;,
310;,
311;,
312;,
313;,
314;,
320;,
321;,
322;,
323;,
325;,
327;,
330;,
334;,
335;,
336;,
338;,
339;,
341;,
342;,
355;,
356;,
358;,
359;,
360;,
364;,
365;,
367;,
368;,
370;,
371;,
375;,
375;,
378;,
379;,
380;,
381;,
382;,
384;,
385;,
387;,
389;,
390;,
401;,
405;,
406;,
407;,
408;,
409;,
410;,
415;,
416;,
417;,
420;,
423;,
427;,
428;,
429;,
431;,
437;,
438;,
439;,
442;,
443;,
444;,
445;,
446;,
450;,
451;,
453;,
458;,
471;,
476;,
477;,
478;,
479;,
481;,
486;,
488;,
490;,
491;,
698;,
699;,
701;,
502;,
503;,
509;,
510;,
511;,
512;,
513;,
514;,
515;,
1020;,
517;,
518;,
519;,
522;,
523;,
524;,
525;,
526;,
531;,
532;,
533;,
925;,
538;,
539;,
540;,
542;,
543;,
546;,
547;,
548;,
558;,
559;,
560;,
561;,
562;,
563;,
564;,
565;,
566;,
567;,
568;,
569;,
570;,
571;,
572;,
573;,
575;,
576;,
577;,
579;,
579;,
580;,
581;,
584;,
957;,
836;,
589;,
837;,
590;,
591;,
876;,
881;,
889;,
650;,
891;,
896;,
905;,
909;,
910;,
913;,
914;,
914;,
